sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
205,Phad Mohan Madhavrao,PATHRI,IND,0,10th Pass,105255500,16300000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=3587,main_election
206,Dhairsheel Mohan Patil,PEN,Peasants And Workers Party of India,0,12th Pass,30380862,594886,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2469,main_election
207,Chavan Dipak Pralhad,PHALTAN (SC),NCP,0,Post Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1142,main_election
208,Haribhau Bagde,PHOLAMBARI,BJP,8,10th Pass,87691231,0,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=926,main_election
209,Chabukswar Gautam Sukhdeo,PIMPRI (SC),SHS,1,Post Graduate,8015000,0,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2604,main_election
210,Dilip Kamble,PUNE CANTONMENT (SC),BJP,0,Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=982,main_election
211,Vijay Sopanrao Shivtare,PURANDAR,SHS,1,10th Pass,113158455,784444,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=729,main_election
212,Manohar Naik,PUSAD,NCP,0,Graduate,86362496,7554408,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1084,main_election
213,Aabitakar Prakash Anandarao,RADHANAGARI,SHS,2,Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2954,main_election
214,Kardile Shivaji Bhanudas,RAHURI,BJP,11,8th Pass,168378228,2448972,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=985,main_election
215,Salvi Rajan Prabhakar,RAJAPUR,SHS,2,Graduate,12674151,3815313,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=3767,main_election
216,Adv. Sanjay Yadaorao Dhote,RAJURA,BJP,1,Graduate Professional,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=911,main_election
217,Prof.(dr). Ashok Uike,RALEGAON (ST),BJP,0,Post Graduate,8699100,2385081,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1020,main_election
218,Reddy Dwaram Mallikarjun Ramreddy,RAMTEK,BJP,1,5th Pass,61273014,5800479,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1017,main_election
219,Uday Ravindra Samant,RATNAGIRI,SHS,0,12th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2996,main_election
220,Haribhau Jawle,RAVER,BJP,1,Graduate,17262652,1175209,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=875,main_election
221,Amit Subhashrao Zanak,RISOD,INC,0,Graduate Professional,36980644,1237454,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=484,main_election
222,Kashiwar Rajesh Lahanu,SAKOLI,BJP,1,12th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=908,main_election
