sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Lahkmen Rymbui,AMLAREM,United Democratic Party,0,Graduate,112112673,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5928,main_election
2,Dr. Mukul Sangma,AMPATI,INC,0,Graduate Professional,135920751,7890463,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5997,main_election
3,Samuel M. Sangma,BAGHMARA,IND,0,12th Pass,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5810,main_election
4,Pongseng Marak,BAJENGDOBA,NPP,0,Graduate,299024,93861,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5857,main_election
5,Lazarus M. Sangma,CHOKPOT,INC,0,Graduate,435000,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6007,main_election
6,James Pangsang Kongkal Sangma,DADENGGRE,NPP,0,Graduate,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5870,main_election
7,Brening A. Sangma,DALU,NPP,0,10th Pass,162536744,1263361,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6001,main_election
8,Mazel Ampareen Lyngdoh,EAST SHILLONG,INC,0,Doctorate,28709012,4232308,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5774,main_election
9,Saleng A. Sangma,GAMBEGRE,NCP,0,Post Graduate,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6125,main_election
10,Sosthenes Sohtun,JIRANG,NPP,0,12th Pass,50916337,5436602,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5896,main_election
11,Wailadmiki Shylla,JOWAI,NPP,0,12th Pass,6186255,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5922,main_election
12,Rupert Momin,KHARKUTTA,NPP,0,Graduate Professional,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5964,main_election
13,Kyrmen Shylla,KHLIEHRIAT,United Democratic Party,0,10th Pass,4677558,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5891,main_election
14,Dikkanchi D. Shira,MAHENDRAGANJ,INC,0,Graduate,135920751,7890463,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6024,main_election
15,Metbah Lyngdoh,MAIRANG,United Democratic Party,0,10th Pass,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5954,main_election
16,Dasakhiatbha Lamare,MAWHATI,NPP,0,12th Pass,403780070,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5821,main_election
17,Banteidor Lyngdoh,MAWKYNREW,Peoples Democratic Front,0,12th Pass,3523376,176100,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5951,main_election
18,Renikton Lyngdoh Tongkhar,MAWKYRWAT,HSPDP,0,Graduate,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6075,main_election
19,Process T. Sawkmie,MAWLAI,INC,0,Graduate,12469402,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5827,main_election
20,Syntar Klas Sunn,MAWPHLANG,IND,0,Graduate Professional,37309489,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5838,main_election
21,David A Nongrum,MAWRYNGKNENG,INC,0,12th Pass,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5823,main_election
22,Gigur Myrthong,MAWSHYNRUT,NPP,0,10th Pass,37389686,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6133,main_election
23,Himalaya Muktan Shangpliang,MAWSYNRAM,INC,0,Graduate,166102122,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5842,main_election
24,Brolding Nongsiej,MAWTHADRAISHAN,United Democratic Party,0,10th Pass,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5812,main_election
25,Marthon Sangma,MENDIPATHAR,INC,0,Graduate,13669153,75000,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5853,main_election
26,Nujorki Sungoh,MOWKAIAW,United Democratic Party,0,Graduate,454820,163612,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5888,main_election
27,Hamletson Dohling,MYLLIEM,Peoples Democratic Front,0,Graduate,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5829,main_election
28,Sniawbhalang Dhar,NARTIANG,NPP,0,12th Pass,64196030,3321585,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5815,main_election
29,Lambor Malngiang,NONGKREM,IND,0,Graduate,9434416,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5778,main_election
30,Mayralborn Syiem,NONGPOH,INC,0,Post Graduate,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5892,main_election
31,Macmillan Byrsat,NONGSTOIN,NPP,0,Graduate,41643860,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6068,main_election
32,Charles Pyngrope,NONGTHYMMAI,INC,0,Graduate,83780270,23532209,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5831,main_election
33,Adelbert Nongrum,NORTH SHILLONG,Khun Hynniewtrep National Awakening Movement,0,12th Pass,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5775,main_election
34,Thomas A. Sangma,NORTH TURA,NPP,0,Graduate,15966889,1299568,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5914,main_election
35,S G Esmatur Mominin,PHULBARI,NPP,0,Graduate Professional,9304384,419135,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5911,main_election
36,Alexander Laloo Hek,PYNTHORUMKHRAH,BJP,0,12th Pass,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6017,main_election
37,Prestone Tynnsong,PYNURSLA,NPP,0,Graduate,45247667,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5785,main_election
38,Azad Zaman,RAJABALA,INC,0,Graduate Professional,364492,727717,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5988,main_election
39,Benedic R. Marak,RAKSAMGRE,NPP,1,12th Pass,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5983,main_election
40,Comingone Ymbon,RALIANG,NPP,0,8th Pass,263916609,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5817,main_election
41,Kimfa Sidney Marbaniang,RAMBRAI JYRNGAM,INC,0,Graduate,24695000,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6072,main_election
42,Zenith M Sangma,RANGSAKONA,INC,0,Graduate,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6113,main_election
43,Martin M. Danggo,RANIKOR,INC,0,Graduate,9515464,253360,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5957,main_election
44,Timothy Shira,RESUBELPARA,NPP,0,Graduate,15626672,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5856,main_election
45,Rakkam A. Sangma,RONGARA SIJU,NPP,0,Post Graduate,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6003,main_election
46,Jim M Sangma,RONGJENG,NPP,0,Graduate Professional,1801713,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5798,main_election
47,Winnerson D. Sangma,SALMANPARA,INC,0,Graduate Professional,5512111,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6121,main_election
48,Clement Marak,SELSELLA,INC,0,10th Pass,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6098,main_election
49,Donkupar Roy,SHELLA,United Democratic Party,0,Doctorate,51523029,381248,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5946,main_election
50,Samlin Malngiang,SOHIONG,HSPDP,0,Graduate,3511915,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5836,main_election
51,Gavin Miguel Mylliem,SOHRA,Peoples Democratic Front,0,Graduate,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5846,main_election
52,Dr. Mukul Sangma,SONGSAK,INC,0,Graduate Professional,135920751,7890463,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6085,main_election
53,Sanbor Shullai,SOUTH SHILLONG,BJP,0,10th Pass,87040483,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5936,main_election
54,Agatha K. Sangma,SOUTH TURA,NPP,0,Post Graduate,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5917,main_election
55,Shitlang Pale,SUTNGA SAIPUNG,INC,0,10th Pass,111223519,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5890,main_election
56,Jimmy D. Sangma,TIKRIKILLA,INC,0,12th Pass,3400454,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5985,main_election
57,George Bankyntiewlang Lyngdoh,UMROI,INC,0,Graduate Professional,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5899,main_election
58,Jason Sawkmie Mawlong,UMSNING,Peoples Democratic Front,0,Graduate Professional,92647420,0,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=6047,main_election
59,Mohendro Rapsang,WEST SHILLONG,INC,0,12th Pass,92555459,15168,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5907,main_election
60,Marcuise N Marak,WILLIAM NAGAR,NPP,1,12th Pass,,,https://www.myneta.info/meghalaya2018/candidate.php?candidate_id=5800,main_election
