sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Pradhyumansinh Mahipatsinh Jadeja,ABDASA,INC,1,Literate,11284333,1580000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3631,main_election
2,Mohile Seemaben Akshaykumar,AKOTA,BJP,0,Graduate,25723530,676162,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5214,main_election
3,Patel Hasmukhbhai Somabhai,AMRAIWADI,BJP,0,Others,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5416,main_election
4,Dhanani Pareshkumar Dhirajlal,AMRELI,INC,4,Graduate,11525523,0,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3764,main_election
5,Kantibhai Sodhaparmar (bhagat),ANAND,INC,0,12th Pass,43610826,4013390,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5399,main_election
6,Ahir Vasanbhai Gopalbhai,ANJAR,BJP,0,5th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3637,main_election
7,Amitbhai Ajitbhai Chavada,ANKLAV,INC,0,Others,15190959,747495,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4432,main_election
8,Patel Ishwarsinh Thakorbhai,ANKLESHWAR,BJP,0,Graduate Professional,28838977,1297880,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3621,main_election
9,Parmar Pradipbhai Khanabhai,ASARWA (SC),BJP,1,10th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5433,main_election
10,Ajitsinh Parvatsinh Chauhan,BALASINOR,INC,1,Graduate Professional,5827500,450000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5049,main_election
11,Patel Anantkumar Hasmukhbhai,BANSDA (ST),INC,1,Post Graduate,6842065,332000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4224,main_election
12,Patel Himmatsinh Prahladsinh,BAPUNAGAR,INC,2,8th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5473,main_election
13,Parmar Ishvarbhai Ramanbhai,BARDOLI (SC),BJP,0,10th Pass,16377044,1815541,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3851,main_election
14,Zala Dhavalsinh Narendrasinh,BAYAD,INC,0,Post Graduate,58017297,5703738,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5409,main_election
15,Thakor Bharatji Sonaji,BECHARAJI,INC,0,10th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5488,main_election
16,Patel Dushyantbhai Rajnikant,BHARUCH,BJP,0,Graduate,35604429,1300000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4085,main_election
17,Dave Vibhavariben Vijaybhai,BHAVNAGAR EAST,BJP,0,Post Graduate,39531430,1859659,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3614,main_election
18,Parsotambhai Odhavjibhai Solanki,BHAVNAGAR RURAL,BJP,6,Others,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4516,main_election
19,Vaghani Jitendrabhai Savajibhai (jitu Vaghani),BHAVNAGAR WEST,BJP,4,Graduate Professional,46926088,16752951,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4054,main_election
20,Acharya Dr.nimaben Bhaveshbhai,BHUJ,BJP,1,Post Graduate,347418010,107416776,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3647,main_election
21,Parmar Rajendrasinh Dhirsinh,BORSAD,INC,0,10th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4430,main_election
22,Saurabh Yashvantbhai Dalal Patel,BOTAD,BJP,0,Post Graduate,1237885869,0,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4004,main_election
23,Dilipkumar Viraji Thakor,CHANASMA,BJP,0,10th Pass,61819300,0,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4405,main_election
24,Mohansinh Chhotubhai Rathava,CHHOTA UDAIPUR (ST),INC,0,10th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5102,main_election
25,Patel Zankhana Hiteshkumar,CHORYASI,BJP,0,Others,126606564,1029911,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4184,main_election
26,Rutvikbhai Lavjibhai Makwana,CHOTILA,INC,0,Graduate,10050844,2200000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3887,main_election
27,Mehta Shaileshbhai Kanaiyalal,DABHOI,BJP,11,12th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4460,main_election
28,Chauhan Balrajsinh Kalyansinh,DAHEGAM,BJP,0,Graduate Professional,16742971,650000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5450,main_election
29,Vajesingbhai Parsingbhai Panda,DAHOD (ST),INC,0,8th Pass,25354887,2654637,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4453,main_election
30,Gavit Mangalbhai Gangajibhai,DANGS (ST),INC,3,Others,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3854,main_election
31,Parmar Shailesh Manharbhai,DANILIMDA (SC),INC,0,Graduate Professional,328467841,1784655,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5477,main_election
32,Kantibhai Kalabhai Kharadi,DANTA (ST),INC,0,8th Pass,3203721,475933,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5362,main_election
33,Shaikh Gyasuddin Habibuddeen,DARIAPUR,INC,0,10th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5475,main_election
34,Solanki Naushadji Bhalajibhai,DASADA (SC),INC,0,Others,123332068,1363062,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3584,main_election
35,Babubhai Jamnadas Patel,DASKROI,BJP,4,10th Pass,325245477,3090616,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4396,main_election
36,Maheshbhai Chhotubhai Vasava,DEDIAPADA (ST),Bhartiya Tribal Party,24,10th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4059,main_election
37,Pandya Shashikant Mahobatram,DEESA,BJP,2,Graduate,28719575,9756592,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5382,main_election
38,Bhuriya Shivabhai Amrabhai,DEODAR,INC,0,Literate,6882857,1550000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5370,main_election
39,Khabad Bachubhai Maganbhai,DEVGADHBARIA,BJP,0,10th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4458,main_election
40,Gohil Rajeshkumar Harjibhai,DHANDHUKA,INC,0,Graduate Professional,11990398,100000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5642,main_election
41,Patel Nathabhai Hegolabhai,DHANERA,INC,0,10th Pass,77864245,1373403,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5395,main_election
42,Patel Arvindbhai Chhotubhai,DHARAMPUR (ST),BJP,0,12th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3898,main_election
43,Jaysukhbhai Vallbhbhai Kakdiya,DHARI,INC,0,Graduate,31941503,3047700,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3610,main_election
44,Bhupendrasinh Manubha Chudasama,DHOLKA,BJP,0,Graduate Professional,82319898,2279254,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4397,main_election
45,Vasoya Lalitkumar Jashmatbhai,DHORAJI,INC,2,12th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3699,main_election
46,Parsotam Ukabhai Sabariya,DHRANGADHRA,INC,0,5th Pass,40228066,9013028,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3917,main_election
47,Shah Rakeshbhai Jaswantlal,ELLISBRIDGE,BJP,0,Graduate,16370672,676261,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4796,main_election
48,Rameshbhai Bhurabhai Katara,FATEPURA (ST),BJP,0,12th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4451,main_election
49,Maru Pravinbhai Tidabhai,GADHADA (SC),INC,0,Graduate,4329181,750000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4013,main_election
50,Patel Nareshbhai Maganbhai,GANDEVI (ST),BJP,0,10th Pass,15372777,3162788,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4217,main_election
51,Maheshwari Malti Kishor,GANDHIDHAM (SC),BJP,0,Graduate,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3865,main_election
52,Chavda Chatursinh Javanji,GANDHINAGAR NORTH,INC,0,Graduate Professional,117210648,23616434,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5406,main_election
53,Thakor Shambhuji Chelaji,GANDHINAGAR SOUTH,BJP,0,Graduate Professional,19731974,0,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5396,main_election
54,Chandrikaben Chhaganbhai Bariya,GARBADA (ST),INC,0,10th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4455,main_election
55,Nakarani Keshubhai Hirjibhai,GARIADHAR,BJP,0,10th Pass,8059282,1000000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3903,main_election
56,Patel Bhupendrabhai Rajnikant,GHATLODIA,BJP,0,12th Pass,51958735,6955707,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5311,main_election
57,Raulji Chandrasinh Kanaksinh,GODHRA,BJP,0,12th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4449,main_election
58,Jadeja Geetaba Jayrajsinh,GONDAL,BJP,0,10th Pass,27016228,1019431,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3923,main_election
59,Jaydrathsinhji Chandrasinhji Parmar,HALOL,BJP,0,Graduate Professional,42610442,0,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4450,main_election
60,Rajendrasinh Ranjitsinh Chavda,HIMATNAGAR,BJP,1,Others,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5461,main_election
61,Kanodiya Hitu,IDAR (SC),BJP,0,12th Pass,15265745,2162414,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5449,main_election
62,Patel Rameshbhai Chhotubhai,JALALPORE,BJP,0,10th Pass,35615087,7200000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4203,main_election
63,Imran Yusufbhai Khedawala,JAMALPUR - KHADIA,INC,0,10th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=5476,main_election
64,Solanki Sanjaybhai Jesangbhai,JAMBUSAR,INC,0,Graduate,23510361,1500000,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=4061,main_election
65,Kalaria Chiragbhai Rameshbhai,JAMJODHPUR,INC,0,Graduate,24291247,2385998,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3928,main_election
66,Jadeja Dharmendrasinh Merubha,JAMNAGAR NORTH,BJP,3,12th Pass,,,https://www.myneta.info/Gujarat2017/candidate.php?candidate_id=3601,main_election
