sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Eshak Konyak,ABOI,INC,0,10th Pass,2245000,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=99,main_election
2,Pukhayi,AGHUNATO,NPF,0,Graduate,10751881,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=62,main_election
3,Khekaho,AKULUTO,INC,0,Graduate,,,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=177,main_election
4,Dr. Benjongliba,ALONGTAKI,NPF,0,Doctorate,8833971,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=59,main_election
5,S. Chuba Longkumer,ANGETYONGPANG,IND,0,Graduate,3786573,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=127,main_election
6,Imtikumzuk,AONGLENDEN,INC,0,Graduate,,,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=29,main_election
7,Nuklutoshi,ARKAKONG,NPF,0,Graduate,132995000,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=36,main_election
8,Picto,ATOIZU,IND,0,10th Pass,22518000,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=8,main_election
9,Mmhonlumo Kikon,BHANDARI,NCP,0,Post Graduate,,,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=182,main_election
10,Chotisuh Sazo,CHAZOUBA,NPF,0,Graduate,8751775,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=160,main_election
11,Deo Nukhu,CHIZAMI,NPF,0,Post Graduate,5620975,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=164,main_election
12,Tovihoto Ayemi,DIMAPUR-I,NPF,0,Graduate,,,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=1,main_election
13,S.I. Jamir,DIMAPUR-II,INC,0,10th Pass,38710661,16516087,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=47,main_election
14,Tokheho,DIMAPUR-III,INC,0,Graduate,137447000,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=45,main_election
15,N. Jacob Zhimomi,GHASPANI-I,IND,0,Graduate,,,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=44,main_election
16,Zhaleo Rio,GHASPANI-II,NPF,0,Graduate,66279454,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=5,main_election
17,Dr. Imtiwapang Aier,IMPUR,INC,0,Doctorate,2054450,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=33,main_election
18,Longrineken,JANGPETKONG,NPF,0,Graduate Professional,,,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=57,main_election
19,Dr. Neikiesalie Nicky Kire,KOHIMA TOWN,NPF,0,Graduate Professional,44950475,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=15,main_election
20,Imkong L. Imchen,KORIDANG,NPF,0,Post Graduate,22324887,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=55,main_election
21,A. Imtilemba Sangtam,LONGKHIM CHARE,NCP,0,Graduate,,,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=186,main_election
22,S. Pangnyu,LONGLENG,NPF,0,Graduate,16935610,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=70,main_election
23,Yitachu,MELURI,NPF,0,Graduate Professional,67258003,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=167,main_election
24,E.E. Pangteang,MOKA,NPF,0,12th Pass,,,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=104,main_election
25,C. Apok Jamir,MOKOKCHUNG TOWN,INC,0,Graduate Professional,67123103,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=27,main_election
26,N. Thongwang,MON TOWN,NPF,0,8th Pass,11700000,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=97,main_election
27,Merentoshi R. Jamir,MONGOYA,NPF,0,Graduate,,,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=31,main_election
28,P Longon,NOKLAK,NPF,0,Graduate,25721347,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=13,main_election
29,C.M. Chang,NOKSEN,NPF,0,Graduate,6349756,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=9,main_election
30,Khriehu Liezietsu,NORTHERN ANGAMI-I,NPF,0,12th Pass,,,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=16,main_election
31,Neiphiu Rio,NORTHERN ANGAMI-II,NPF,0,Graduate,300707462,0,https://www.myneta.info/nagaland2013/candidate.php?candidate_id=17,main_election
