sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
44,Tarun Rai Kaga,CHOHTAN,BJP,0,12th Pass,4823152,332454,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=733,main_election
45,Ram Lal Sharma,CHOMU,BJP,1,Graduate Professional,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=291,main_election
46,Sushil Katara,CHORASI,BJP,0,Graduate Professional,8533980,652688,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=636,main_election
47,Rajendra Rathore,CHURU,BJP,1,Post Graduate,207869314,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=207,main_election
48,Arun Chaturvedi,CIVIL LINES,BJP,0,Doctorate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=320,main_election
49,Ram Chandra,DAG,BJP,0,Post Graduate,22654933,448241,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=423,main_election
50,Narayan Singh,DANTARAMGARH,INC,0,12th Pass,10676929,1275000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=53,main_election
51,Shankar Lal Sharma,DAUSA,BJP,5,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=120,main_election
52,Yunus Khan,DEEDWANA,BJP,0,Post Graduate,12303679,1410500,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1989,main_election
53,Vishwendra Singh,DEEG - KUMHER,INC,0,12th Pass,1189654213,401248700,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=115,main_election
54,Ajay Singh,DEGANA,BJP,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=985,main_election
55,Rajendra Gurjar,DEOLI-UNIARA,BJP,0,12th Pass,24256392,5690000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=2162,main_election
56,Gotam Lal,DHARIAWAD,BJP,0,5th Pass,9335000,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=408,main_election
57,Gordhan,DHOD,BJP,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=50,main_election
58,B L Kushwah,DHOLPUR,BSP,0,12th Pass,278940686,20788673,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1215,main_election
59,Prem Chand,DUDU,BJP,0,Doctorate,33833669,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=298,main_election
60,Krishan Ram Nai,DUNGARGARH,BJP,0,Literate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=226,main_election
61,Devendra Katara,DUNGARPUR,BJP,0,Graduate Professional,6933316,806688,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=651,main_election
62,Nand Kishor,FATEHPUR,IND,0,Graduate Professional,226153156,17877599,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1201,main_election
63,Kamini Jindal,GANGANAGAR,NUZP,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=216,main_election
64,Man Singh,GANGAPUR,BJP,0,Post Graduate,5627458,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1112,main_election
65,Jeetmal Khant,GARHI,BJP,0,Post Graduate,36787758,2394183,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=631,main_election
66,Navneet Lal,GHATOL,BJP,1,10th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=633,main_election
67,Pratap Lal Bheel,GOGUNDA,BJP,0,10th Pass,1188000,140381,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=687,main_election
68,Laduram,GUDAMALANI,BJP,0,Graduate Professional,84971019,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=739,main_election
69,Rampratap,HANUMANGARH,BJP,2,Graduate Professional,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=849,main_election
70,Surendra Pareek,HAWAMAHAL,BJP,0,Graduate Professional,13037253,1421702,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=311,main_election
71,Rajkumari,HINDAUN,BJP,0,12th Pass,6623000,550000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1186,main_election
72,Ashok,HINDOLI,INC,1,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=496,main_election
73,Dhiraj Gurjar,JAHAZPUR,INC,1,Graduate,288035,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1707,main_election
74,Chhotu Singh,JAISALMER,BJP,0,12th Pass,4768192,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=810,main_election
75,Surendra Goyal,JAITARAN,BJP,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=938,main_election
76,Amrita Solanki,JALORE,BJP,0,Graduate,1462000,262000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=724,main_election
77,Jagdish Narayan Meena,JAMWA RAMGARH,BJP,0,12th Pass,7990835,749465,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=308,main_election
78,Heeralal,JHADOL,INC,0,8th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=2209,main_election
79,Vasundhra Raje,JHALRAPATAN,BJP,0,Graduate,40451631,728937,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=419,main_election
