sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
141,Bhai Virendra,Maner,RJD,0,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1662,main_election
142,MANOHAR PRASAD SINGH,Manihari (ST),JD(U),0,Post Graduate,787000,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=64,main_election
143,Gautam Singh,Manjhi,JD(U),2,10th Pass,4873968,117391,https://www.myneta.info/bih2010/candidate.php?candidate_id=1486,main_election
144,Jitendra Kumar Rai,Marhaura,RJD,0,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1498,main_election
145,Arun Manjhi,Masaurhi (SC),JD(U),1,10th Pass,813543,155082,https://www.myneta.info/bih2010/candidate.php?candidate_id=2328,main_election
146,NARENDRA KUMAR SINGH URF BOGO SINGH,Matihani,JD(U),13,12th Pass,28306092,890852,https://www.myneta.info/bih2010/candidate.php?candidate_id=1738,main_election
147,DINESH PRASAD,Minapur,JD(U),1,8th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1109,main_election
148,Chhedi Paswan,Mohania (SC),JD(U),3,Post Graduate,6185521,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=2458,main_election
149,Rana Gangeshwar Singh,Mohiuddinnagar,BJP,1,12th Pass,3427500,58289,https://www.myneta.info/bih2010/candidate.php?candidate_id=924,main_election
150,Baidhnath Sahani,Morwa,JD(U),0,12th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=908,main_election
151,ANANT KUMAR SATYARTHY,Munger,JD(U),2,Graduate Professional,2312425,442450,https://www.myneta.info/bih2010/candidate.php?candidate_id=1641,main_election
152,SURESH KUMAR SHARMA,Muzaffarpur,BJP,3,12th Pass,91474463,275286,https://www.myneta.info/bih2010/candidate.php?candidate_id=1169,main_election
153,VIRENDRA KUMAR SINGH,Nabinagar,JD(U),3,Post Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=2750,main_election
154,Shrawan Kumar,Nalanda,JD(U),1,12th Pass,18323658,16647,https://www.myneta.info/bih2010/candidate.php?candidate_id=1970,main_election
155,SHYAM BIHARI PRASAD,Narkatia,JD(U),1,10th Pass,8329023,1029365,https://www.myneta.info/bih2010/candidate.php?candidate_id=770,main_election
156,Devanti Yadav,Narpatganj,BJP,3,10th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=97,main_election
157,Ajay kumar Mandal,Nathnagar,JD(U),1,8th Pass,546000,115000,https://www.myneta.info/bih2010/candidate.php?candidate_id=1617,main_election
158,Manorma Prasad,Nautan,JD(U),0,Doctorate,11003902,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1382,main_election
159,Purnima Yadav,Nawada,JD(U),0,Not Given,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1924,main_election
160,Rameshwar Prasad,Nokha,BJP,1,Post Graduate,4510945,1916693,https://www.myneta.info/bih2010/candidate.php?candidate_id=2564,main_election
161,SOMPRAKASH SINGH,Obra,IND,0,Graduate,3570000,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=2744,main_election
162,Dr. Usha Vidyarthi,Paliganj,BJP,0,Post Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=2341,main_election
163,SAMRAT CHOUDHARY ALIAS RAKESH KUMAR,Parbatta,RJD,1,5th Pass,2778915,2295117,https://www.myneta.info/bih2010/candidate.php?candidate_id=1589,main_election
164,RAM NARESH PR. YADAV,Parihar,BJP,1,Graduate,3937088,934642,https://www.myneta.info/bih2010/candidate.php?candidate_id=1289,main_election
165,ASHOK KUMAR SINGH,Paroo,BJP,3,8th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1223,main_election
166,CHHOTELAL RA,Parsa,JD(U),2,10th Pass,2471000,88100,https://www.myneta.info/bih2010/candidate.php?candidate_id=1513,main_election
167,Mahendra Baitha,Patepur (SC),BJP,0,12th Pass,2795910,3022,https://www.myneta.info/bih2010/candidate.php?candidate_id=1423,main_election
168,NAND KISHORE YADAV,Patna Sahib,BJP,4,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1654,main_election
169,Guljar Devi,Phulparas,JD(U),0,Literate,2049162,242485,https://www.myneta.info/bih2010/candidate.php?candidate_id=606,main_election
170,Shyam Rajak,Phulwari (SC),JD(U),2,Graduate,6359795,794446,https://www.myneta.info/bih2010/candidate.php?candidate_id=2152,main_election
171,SUJATA DEVI,Pipra,JD(U),0,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=194,main_election
172,AWADHESH PRASAD KUSHWAHA,Pipra,JD(U),1,10th Pass,28371992,3429867,https://www.myneta.info/bih2010/candidate.php?candidate_id=701,main_election
173,Aman Kumar,Pirpainti (SC),BJP,0,Graduate,352000,170000,https://www.myneta.info/bih2010/candidate.php?candidate_id=1600,main_election
174,BINOD KUMAR SINGH,Pranpur,BJP,1,Post Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=438,main_election
175,RAJ KISHORE KESHARI,Purnia,BJP,4,12th Pass,5800211,399699,https://www.myneta.info/bih2010/candidate.php?candidate_id=362,main_election
176,ASHOK KUMAR SINGH,Rafiganj,JD(U),1,Graduate,3553000,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=2719,main_election
177,Satish Kumar,Raghopur ( VAISHALI ),JD(U),1,Post Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1415,main_election
178,Vikram Kunwar,Raghunathpur,BJP,4,12th Pass,2156874,413891,https://www.myneta.info/bih2010/candidate.php?candidate_id=1030,main_election
179,Sanjay Kumar,Raja Pakar (SC),JD(U),0,12th Pass,4497126,420000,https://www.myneta.info/bih2010/candidate.php?candidate_id=1410,main_election
180,KANHAIYA KUMAR,Rajauli (SC),BJP,1,12th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1919,main_election
181,SATYADEO NARAIN ARYA,Rajgir (SC),BJP,0,Post Graduate,10674807,625,https://www.myneta.info/bih2010/candidate.php?candidate_id=1903,main_election
182,Ram Lakhan Ram Raman,Rajnagar (SC),RJD,0,Graduate,3609180,100000,https://www.myneta.info/bih2010/candidate.php?candidate_id=577,main_election
183,SANTOSH KUMAR NIRALA,Rajpur (SC),JD(U),1,Graduate Professional,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=2429,main_election
184,Ambika Singh,Ramgarh,RJD,4,10th Pass,6360279,502477,https://www.myneta.info/bih2010/candidate.php?candidate_id=2451,main_election
185,Bhagirathi Devi,Ramnagar (SC),BJP,0,5th Pass,821000,34198,https://www.myneta.info/bih2010/candidate.php?candidate_id=1385,main_election
186,PARMANAND RISHIDEO,Raniganj (SC),BJP,0,Post Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=693,main_election
187,DR. AJAY KUMAR SINGH,Raxaul,BJP,0,Graduate Professional,4863737,200000,https://www.myneta.info/bih2010/candidate.php?candidate_id=1670,main_election
188,MotiLal Prasad,Riga,BJP,1,12th Pass,2262000,68000,https://www.myneta.info/bih2010/candidate.php?candidate_id=1256,main_election
189,Manju Hajari,Rosera (SC),BJP,0,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=940,main_election
190,Guddi Devi,Runnisaidpur,JD(U),0,10th Pass,6846846,25250,https://www.myneta.info/bih2010/candidate.php?candidate_id=1527,main_election
191,Bima Bharti,Rupauli,JD(U),2,Literate,5043059,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=325,main_election
192,ALOK RANJAN,Saharsa,BJP,0,Doctorate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=630,main_election
