sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Shatrughan Mahto,BAGHMARA,BJP,4,12th Pass,135968603,81730572,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=1022,main_election
2,Nagendra Mahto,BAGODAR,BJP,0,Graduate,30702583,0,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=841,main_election
3,Samir Kumar Mohanty,BAHARAGORA,JMM,2,Graduate,,,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=183,main_election
4,Hemant Soren,BARHAIT (ST),JMM,5,12th Pass,253387953,39263081,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=895,main_election
5,Manoj Kumar Yadav,BARHI,BJP,12,Graduate,82807143,3820959,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=255,main_election
6,Roshan Lal Choudhary,BARKAGAON,BJP,0,Graduate,,,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=167,main_election
7,Amit Kumar Yadav,BARKATHA,BJP,1,Graduate,41478055,5312700,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=249,main_election
8,Anant Pratap Deo,BHAWANATHPUR,JMM,2,12th Pass,169467000,0,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=8,main_election
9,Naresh Prasad Singh,BISHRAMPUR,RJD,5,12th Pass,,,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=239,main_election
10,Chamra Linda,BISHUNPUR (ST),JMM,1,Graduate,28070895,3573368,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=311,main_election
11,Shwettaa Singh,BOKARO,INC,0,Graduate,6894529,3218828,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=1354,main_election
12,Dhananjay Soren,BORIO (ST),JMM,0,10th Pass,,,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=892,main_election
13,Deepak Birua,CHAIBASA (ST),JMM,0,Graduate,31234358,0,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=139,main_election
14,Sukhram Oraon,CHAKRADHARPUR (ST),JMM,0,Post Graduate,44861371,4038170,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=783,main_election
15,Uma Kant Rajak,CHANDANKIYARI (SC),JMM,0,10th Pass,,,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=813,main_election
16,Janardhan Paswan,CHATRA (SC),Lok Janshakti Party(Ram Vilas),2,Graduate,24263292,5294000,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=175,main_election
17,Radha Krishana Kishore,CHHATARPUR (SC),INC,0,Graduate,31028424,1283740,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=661,main_election
18,Alok Kumar Chaurasiya,DALTONGANJ,BJP,1,12th Pass,,,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=308,main_election
19,Suresh Paswan,DEOGHAR (SC),RJD,3,8th Pass,187678000,5198347,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=932,main_election
20,Raj Sinha,DHANBAD,BJP,1,Post Graduate,35422609,611667,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=823,main_election
21,Babu Lal Marandi,DHANWAR,BJP,15,Graduate,,,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=1251,main_election
22,Basant Soren,DUMKA (ST),JMM,0,10th Pass,126872256,11054291,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=831,main_election
23,Jairam Kumar Mahato,DUMRI,Jharkhand Loktantrik Krantikari Morcha,14,Post Graduate,255965,0,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=855,main_election
24,Kalpana Murmu Soren,GANDEY,JMM,0,Post Graduate,,,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=849,main_election
25,Satyendra Nath Tiwari,GARHWA,BJP,7,Graduate,38480206,1970552,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=61,main_election
26,Ram Das Soren,GHATSILA (ST),JMM,2,Graduate,104555586,3293952,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=79,main_election
27,Sudivya Kumar,GIRIDIH,JMM,0,12th Pass,,,https://www.myneta.info/Jharkhand2024/candidate.php?candidate_id=853,main_election
