timestamp,state,year,constituency,candidate_name,url,reason,source_csv
2025-06-05T03:01:51.023252,DELHI,2024,WEST_DELHI,Kapil Marwah,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8304,"Download failed: HTTPSConnectionPool(host='www.myneta.info', port=443): Read timed out. (read timeout=10)",WEST_DELHI.csv
2025-06-05T03:02:01.297888,DELHI,2024,WEST_DELHI,Sabir Khan,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8309,"Download failed: HTTPSConnectionPool(host='www.myneta.info', port=443): Read timed out. (read timeout=10)",WEST_DELHI.csv
2025-06-05T03:02:20.198247,DELHI,2024,WEST_DELHI,Jarnail Singh,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8305,"Download failed: HTTPSConnectionPool(host='www.myneta.info', port=443): Read timed out. (read timeout=10)",WEST_DELHI.csv
2025-06-05T07:43:59.531323,TAMIL NADU,2024,KARUR,Varadan. M,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1242,"Processing error: expected string or bytes-like object, got 'NoneType'",KARUR.csv
2025-06-05T07:43:59.534324,TAMIL NADU,2024,KARUR,Vincent. F,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1245,"Processing error: expected string or bytes-like object, got 'NoneType'",KARUR.csv
2025-06-05T11:43:59.230827,TELANGANA,2024,CHEVELLA,Ranjit Reddy Gade,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5440,"Processing error: expected string or bytes-like object, got 'NoneType'",CHEVELLA.csv
2025-06-05T11:43:59.243826,TELANGANA,2024,CHEVELLA,Ramulu Bingi,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5446,"Processing error: expected string or bytes-like object, got 'NoneType'",CHEVELLA.csv
2025-06-05T11:43:59.253826,TELANGANA,2024,CHEVELLA,Serubai Vasanth Kumar,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5436,"Processing error: expected string or bytes-like object, got 'NoneType'",CHEVELLA.csv
2025-06-05T11:43:59.258826,TELANGANA,2024,CHEVELLA,Sanem Raju Goud,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5459,"Processing error: expected string or bytes-like object, got 'NoneType'",CHEVELLA.csv
2025-06-05T11:43:59.264825,TELANGANA,2024,CHEVELLA,Sahithi Dasari,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7070,"Processing error: expected string or bytes-like object, got 'NoneType'",CHEVELLA.csv
2025-06-05T11:43:59.268827,TELANGANA,2024,CHEVELLA,Sridevi M,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7072,"Processing error: expected string or bytes-like object, got 'NoneType'",CHEVELLA.csv
2025-06-05T11:44:08.742328,TELANGANA,2024,CHEVELLA,Sudhakar Vanam,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5456,"Processing error: expected string or bytes-like object, got 'NoneType'",CHEVELLA.csv
2025-06-05T11:44:08.788483,TELANGANA,2024,CHEVELLA,V Pandu,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7078,"Processing error: expected string or bytes-like object, got 'NoneType'",CHEVELLA.csv
2025-06-05T11:44:08.791482,TELANGANA,2024,CHEVELLA,Thotla Raghavender Mudiraj,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5442,"Processing error: expected string or bytes-like object, got 'NoneType'",CHEVELLA.csv
2025-06-05T11:44:08.795484,TELANGANA,2024,CHEVELLA,Suguru Srinivas,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5452,"Processing error: expected string or bytes-like object, got 'NoneType'",CHEVELLA.csv
2025-06-05T11:44:08.798484,TELANGANA,2024,CHEVELLA,Vishwakarma Sapthagiri,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7075,"Processing error: expected string or bytes-like object, got 'NoneType'",CHEVELLA.csv
2025-06-05T11:56:24.809902,TELANGANA,2024,MAHBUBNAGAR,A. Srinivasulu,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7035,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:27.931008,TELANGANA,2024,MAHBUBNAGAR,Aruna. D. K,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5236,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:27.989574,TELANGANA,2024,MAHBUBNAGAR,Andhari Anjaiah,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7019,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:28.039274,TELANGANA,2024,MAHBUBNAGAR,Aneesur Rahman,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5510,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:28.154055,TELANGANA,2024,MAHBUBNAGAR,B. Ravinder,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5508,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:28.167056,TELANGANA,2024,MAHBUBNAGAR,Banda Satyanarayana,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7030,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:28.294668,TELANGANA,2024,MAHBUBNAGAR,Challa Vamshi Chand Reddy,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5234,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:28.302706,TELANGANA,2024,MAHBUBNAGAR,Dinesh,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7026,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:28.302706,TELANGANA,2024,MAHBUBNAGAR,Gantlavelli Rakesh,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5504,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:28.319089,TELANGANA,2024,MAHBUBNAGAR,Govindamma,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7025,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:28.344138,TELANGANA,2024,MAHBUBNAGAR,Hanumesh,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7037,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:28.351716,TELANGANA,2024,MAHBUBNAGAR,Harinder Reddy Mallela,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7038,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:30.881890,TELANGANA,2024,MAHBUBNAGAR,K. Uday Tej Naik,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7020,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:30.961387,TELANGANA,2024,MAHBUBNAGAR,Kadinti Shankar Reddy,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5505,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:30.973321,TELANGANA,2024,MAHBUBNAGAR,Karukonda Srinivas Yadav,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7022,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:31.002579,TELANGANA,2024,MAHBUBNAGAR,Kinnera Yadagiri,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7023,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
2025-06-05T11:56:31.010772,TELANGANA,2024,MAHBUBNAGAR,Kura Venkataiah,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7024,"Processing error: expected string or bytes-like object, got 'NoneType'",MAHBUBNAGAR.csv
