sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
200,Durgalal Vijay,SHEOPUR,BJP,0,Post Graduate,29352650,1248892,https://www.myneta.info/mp2013/candidate.php?candidate_id=684,main_election
201,Yashodhara Raje Sindhiya,SHIVPURI,BJP,0,12th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=612,main_election
202,Jaswant Singh Hada,SHUJALPUR,BJP,1,Graduate,11441079,138000,https://www.myneta.info/mp2013/candidate.php?candidate_id=803,main_election
203,Kedarnath Shukla,SIDHI,BJP,0,Graduate Professional,28085187,444978,https://www.myneta.info/mp2013/candidate.php?candidate_id=512,main_election
204,Kamleshwar Patel,SIHAWAL,INC,0,Graduate Professional,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=767,main_election
205,Nandani Maravi,SIHORA,BJP,0,Graduate,9025016,300000,https://www.myneta.info/mp2013/candidate.php?candidate_id=781,main_election
206,Rampal Singh,SILWANI,BJP,0,Graduate Professional,46339241,2329943,https://www.myneta.info/mp2013/candidate.php?candidate_id=337,main_election
207,Ram Lallu Vaishy,SINGAROULI,BJP,0,Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=269,main_election
208,Divyaraj Singh,SIRMOUR,BJP,0,Post Graduate,41610246,400000,https://www.myneta.info/mp2013/candidate.php?candidate_id=836,main_election
209,Govardhan Upadhyay,SIRONG,INC,0,Graduate Professional,17712724,301093,https://www.myneta.info/mp2013/candidate.php?candidate_id=896,main_election
210,Vijay Pal Singh,SOHAGPUR,BJP,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=867,main_election
211,Rajendra Verma,SONKATCH,BJP,0,12th Pass,17246305,9371351,https://www.myneta.info/mp2013/candidate.php?candidate_id=754,main_election
212,Satyapal Singh,SUMAOLI,BJP,4,Post Graduate,11920196,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=815,main_election
213,Parul Sahu,SURKHI,BJP,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=422,main_election
214,Murlidhar Patidar,SUSNER,BJP,5,Post Graduate,3269908,489394,https://www.myneta.info/mp2013/candidate.php?candidate_id=798,main_election
215,Hardeep Singh Dang,SUWARSA,INC,0,Post Graduate,3368351,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=926,main_election
216,Anil Phirojiya,TARANA,BJP,0,12th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=742,main_election
217,Sanjay Sharma,TENDUKHEDA,BJP,1,12th Pass,654274502,33253570,https://www.myneta.info/mp2013/candidate.php?candidate_id=786,main_election
218,Ramakant Tiwari,TEONTHAR,BJP,1,Graduate,11988978,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=837,main_election
219,Kalsingh Bhabhar,THANDLA,IND,1,12th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=2632,main_election
220,Krishna Kumar Shrivastava,TIKAMGARH,BJP,1,Graduate,9818867,700000,https://www.myneta.info/mp2013/candidate.php?candidate_id=644,main_election
221,Sanjay Shah,TIMARNI,BJP,0,12th Pass,36622375,5195898,https://www.myneta.info/mp2013/candidate.php?candidate_id=866,main_election
222,Ramkishan Kotwar,UDAIPURA,BJP,0,10th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=795,main_election
223,Paras Jain,UJJAIN NORTH,BJP,0,Graduate,54067474,1848231,https://www.myneta.info/mp2013/candidate.php?candidate_id=746,main_election
224,Dr. Mohan Yadav,UJJAIN SOUTH,BJP,0,Doctorate,169542908,51134248,https://www.myneta.info/mp2013/candidate.php?candidate_id=747,main_election
225,Shivraj Singh Chouhan,VIDISHA,BJP,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=772,main_election
226,Ramniwas,VIJAYPUR,INC,1,Post Graduate,33825580,1600000,https://www.myneta.info/mp2013/candidate.php?candidate_id=576,main_election
227,Sanjay Pathak,VIJAYRAGHAVGARH,INC,1,Post Graduate,1213273214,487000000,https://www.myneta.info/mp2013/candidate.php?candidate_id=777,main_election
228,Dr. Yogendra Nirmal,WARASEONI,BJP,0,Graduate Professional,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=294,main_election
