sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
1,Gopal Paramar,AGAR : BYE- ELECTION ON 21-08-2014,BJP,0,12th Pass,12302450,4149675,https://www.myneta.info/mp2013/candidate.php?candidate_id=2765,bye_election
2,Hemant Katare,ATER : BYE- ELECTION ON 09-04-2017,INC,0,Graduate Professional,29603089,7754488,https://www.myneta.info/mp2013/candidate.php?candidate_id=2842,bye_election
3,Kunwar Saurabh Singh,BAHORIBAND : BYE- ELECTION ON 21-08-2014,INC,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=2781,bye_election
4,Shivnarayan Singh,BANDHAVGARH : BYE- ELECTION ON 09-04-2017,BJP,0,Graduate,2937768,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=2846,bye_election
5,Neelanshu Chaturvedi,CHITRAKOOT : BYE- ELECTION ON 09-11-2017,INC,0,Graduate Professional,28874790,1360923,https://www.myneta.info/mp2013/candidate.php?candidate_id=2874,bye_election
6,Gayatriraje Puar,DEWAS : BYE ELECTION 21-11-2015,BJP,0,Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=2808,bye_election
7,Chandarsingh Sisodiya,GAROTH : BYE ELECTION 27-06-2015,BJP,0,Graduate,13999515,646964,https://www.myneta.info/mp2013/candidate.php?candidate_id=2797,bye_election
8,Mangal Sing Dhurve,GHODADONGRI : BYE- ELECTION ON 30-05-2016,BJP,0,8th Pass,7361000,390000,https://www.myneta.info/mp2013/candidate.php?candidate_id=2830,bye_election
9,Mahendra Singh,KOLARAS (BYE ELECTION FEB 2018),INC,0,12th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=2894,bye_election
10,Narayan Tripathi,MAIHAR : BYE-ELECTION ON 13-02-2016,BJP,0,Post Graduate,2861500,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=2813,bye_election
11,Brajendra Singh,MUNGAOLI (BYE ELECTION FEB 2018),INC,0,5th Pass,20945000,5000000,https://www.myneta.info/mp2013/candidate.php?candidate_id=2886,bye_election
12,Manju Rajendra Dadu,NEPANAGAR (ST) : BYE ELECTION ON 19-11-2016,BJP,0,Graduate Professional,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=2836,bye_election
13,Kalyan Singh Thakur,VIDISHA : BYE- ELECTION ON 24-04-2014,BJP,0,8th Pass,46374638,963974,https://www.myneta.info/mp2013/candidate.php?candidate_id=2754,bye_election
14,Sanjay Pathak,VIJAYRAGHAVGARH : BYE- ELECTION ON 21-08-2014,BJP,0,Post Graduate,1415197527,580501613,https://www.myneta.info/mp2013/candidate.php?candidate_id=2791,bye_election
